Year,Crime,Value
2005/06,Sexual offences,0
2005/06,Robbery with aggravating circumstances,663
2005/06,Assault with the intent to inflict grievous bodily harm,562
2005/06,,1226
2006/07,Sexual offences,0
2006/07,Robbery with aggravating circumstances,688
2006/07,Assault with the intent to inflict grievous bodily harm,527
2006/07,,1215
2007/08,Sexual offences,0
2007/08,Robbery with aggravating circumstances,608
2007/08,Assault with the intent to inflict grievous bodily harm,482
2007/08,,1090
2008/09,Sexual offences,176
2008/09,Robbery with aggravating circumstances,582
2008/09,Assault with the intent to inflict grievous bodily harm,460
2008/09,,1219
2009/10,Sexual offences,125
2009/10,Robbery with aggravating circumstances,487
2009/10,Assault with the intent to inflict grievous bodily harm,464
2009/10,,1075
2010/11,Sexual offences,112
2010/11,Robbery with aggravating circumstances,395
2010/11,Assault with the intent to inflict grievous bodily harm,419
2010/11,,927
2011/12,Sexual offences,89
2011/12,Robbery with aggravating circumstances,348
2011/12,Assault with the intent to inflict grievous bodily harm,377
2011/12,,814
2012/13,Sexual offences,88
2012/13,Robbery with aggravating circumstances,350
2012/13,Assault with the intent to inflict grievous bodily harm,352
2012/13,,790
2013/14,Sexual offences,80
2013/14,Robbery with aggravating circumstances,388
2013/14,Assault with the intent to inflict grievous bodily harm,345
2013/14,,814
2014/15,Sexual offences,76
2014/15,Robbery with aggravating circumstances,416
2014/15,Assault with the intent to inflict grievous bodily harm,342
2014/15,,834
2015/16,Sexual offences,69
2015/16,Robbery with aggravating circumstances,428
2015/16,Assault with the intent to inflict grievous bodily harm,340
2015/16,,837
2016/17,Sexual offences,68
2016/17,Robbery with aggravating circumstances,465
2016/17,Assault with the intent to inflict grievous bodily harm,302
2016/17,,836
2017/18,Sexual offences,69
2017/18,Robbery with aggravating circumstances,436
2017/18,Assault with the intent to inflict grievous bodily harm,296
2017/18,,801
2018/19,Sexual offences,70
2018/19,Robbery with aggravating circumstances,429
2018/19,Assault with the intent to inflict grievous bodily harm,293
2018/19,,792
2019/20,Sexual offences,71
2019/20,Robbery with aggravating circumstances,434
2019/20,Assault with the intent to inflict grievous bodily harm,281
2019/20,,786
2020/21,Sexual offences,58
2020/21,Robbery with aggravating circumstances,296
2020/21,Assault with the intent to inflict grievous bodily harm,229
2020/21,,583
