Year,Value
1993,44.25958899
1994,50.59683023
1995,53.99314916
1996,55.28506852
1997,58.67797202
1998,61.84754716
1999,63.72514724
2000,60.48058127
2001,59.38731345
2002,55.87503029
2003,51.87465204
2004,54.80914393
2005,50.5663647
2006,49.17730191
2007,48.0719039
2008,44.60794971
2009,48.69472007
2010,52.59750481
2011,53.01363951
2012,53.39180135
2013,54.49313731
2014,57.11890365
2015,57.2987431
2016,59.73286958
2017,60.60276805
2018,63.96293701
2019,65.21448825
2020,78.28980397
2021,74.51403872
